--Name||NpcParamID||NpcThinkID||CharaInitID||SpEffect,Speffect,SpEffect
Bloody Finger Ravenmount Assassin (Liurnia of the Lakes)||523400020||523400000||23400||-1
Boc the Seamster (Academy of Raya Lucaria)||523420024||523420000||23420||-1
Great Horned Tragoth (Caelid)||523440040||523440000||23441||-1
Great Horned Tragoth (B) (Ruin-Strewn Precipice)||523440026||523441000||23440||-1
Old Knight Istvan (Stormhill)||523450010||523450000||23450||-1
Rileigh the Idle (Altus Plateau)||523460030||523460000||23460||-1
Juno Hoslow, Knight of Blood (Mountaintops of the Giants)||523470050||523470000||23470||-1
Millicent (Caelid)||523480040||523480000||23481||-1
Millicent (Altus Plateau)||523480030||523480000||23482||-1
Millicent (Caelid) 2||523480340||523480000||23482||-1
Millicent (Caelid) 3||523480440||523480000||23482||-1
Millicent (Miquella's Haligtree)||523480056||523480000||23483||-1
Millicent (Miquella's Haligtree) 2||523480256||523480000||23483||-1
Millicent (Altus Plateau) 2||523480230||523480000||23483||-1
Millicent (Mountaintops of the Giants)||523480050||523480000||23483||-1
Millicent (B) (Miquella's Haligtree)||523480156||523481000||23488||-1
Sage Gowry (Caelid)||523490040||523490000||23490||-1
Sage Gowry (Caelid) 2||523490140||523490000||23490||-1
Scribe Corhyn (Leyndell, Royal Capital)||523510034||523510000||23510||-1
Scribe Corhyn (Leyndell, Ashen Capital)||523510070||523510000||23510||-1
Brother Corhyn (Roundtable Hold)||523510079||523510000||23510||-1
Brother Corhyn (Altus Plateau)||523510030||523510000||23510||-1
Scribe Corhyn (Altus Plateau)||523510130||523510000||23510||-1
Scribe Corhyn (Mountaintops of the Giants)||523510050||523510000||23510||-1
Preceptor Miriam (Divine Tower of Liurnia)||523520028||523520000||23520||-1
Preceptor Miriam (Divine Tower of Liurnia) 2||523521028||523520000||23521||-1
Anastasia, Tarnished-Eater (Caelid)||523530040||523530000||23530||-1
Anastasia, Tarnished-Eater (Mt. Gelmir)||523530032||523530000||23531||-1
Anastasia, Tarnished-Eater (Consecrated Snowfield)||523530052||523530000||23532||-1
Bloody Finger Okina (Flame Peak)||523550050||523550000||23550||-1
Okina (Caelid)||523550040||523550000||23551||-1
Adan, Thief of Fire (Liurnia of the Lakes)||523560020||523560000||23560||5260
Moongrum, Carian Knight (Academy of Raya Lucaria)||523590024||523590100||23590||-1
Vargram the Raging Wolf (Leyndell, Royal Capital)||523600034||523600000||23600||-1
Fia's Champion 1 (Deeproot Depths)||523610066||523610100||23611||-1
Fia's Champion 1 (Deeproot Depths) 2||523610066||523610100||23612||-1
Fia's Champion 1 (Deeproot Depths) 3||523610066||523610100||23701||-1
Fia's Champion 1 (Deeproot Depths) 4||523610066||523610100||23711||-1
Finger Maiden Therolina (Caelid)||523630040||523630000||23632||-1
Inaba, Disciple of Okina (Spiritcaller Cave)||523670050||523670000||23670||15025
Silver Tear (Siofra River)||523680065||523680000||23680||-1
Silver Tear (Siofra River) 2||523680065||523680000||23681||-1
Silver Tear (Ainsel River)||523680062||523680000||23682||-1
Silver Tear (Siofra River) 3||523680065||523680000||23682||-1
Silver Tear (Ainsel River) 2||523680062||523680000||23683||-1
Silver Tear (Siofra River) 4||523680065||523680000||23683||-1
Maleigh Marais, Shaded Castle Castellan (Mt. Gelmir)||523720030||523720000||23720||-1
Knight of the Great Jar (Caelid)||523730040||523730000||23730||-1
Knight of the Great Jar (Caelid) 2||523740040||523740000||23740||-1
Knight of the Great Jar (Caelid) 3||523750040||523750000||23750||-1
Necromancer Garris (Sage's Cave)||523760930||523760000||23760||-1
Nameless White Mask (Mohgwyn Palace)||523770068||523770000||23770||-1
Errant Sorcerer Wilhelm (Leyndell, Royal Capital)||523800034||523800000||23800||-1
Chief Guardian Arghanthy (Mountaintops of the Giants)||523820050||523820000||23820||-1
Flame Guardian (Mountaintops of the Giants)||523830050||523830000||23830||-1
Inquisitor Ghiza (Volcano Manor)||523840038||523840000||23840||-1
Esgar, Priest of Blood (Subterranean Shunning-Grounds)||523860000||523860000||23860||-1
Mary, Eldest Sister (Miquella's Haligtree)||523870056||523870000||23870||-1
Maureen, Second Sister (Miquella's Haligtree)||523880056||523880000||23880||-1
Amy, Third Sister (Miquella's Haligtree)||523890056||523890000||23890||-1
Polyanna, Youngest Sister (Miquella's Haligtree)||523900056||523900000||23900||-1
Magnus the Beast Claw (Altus Plateau)||523910030||523910000||23910||-1
Mimic Tear (Siofra River)||526100965||90603100||24020||-1
Stray Mimic Tear (B) (Hidden Path to the Haligtree)||526100052||526050000||24010||-1
Patches (Southeast Caelid)||533090040||533090000||23092||-1
Castellan Edgar (Weeping Peninsula) 3||533110012||533110000||23110||-1
Castellan Jerren (Southeast Caelid)||533121040||523120040||23121||-1
Witch-Hunter Jerren (B) (Academy of Raya Lucaria)||533120024||533120000||23122||-1
Sorceress Sellen (Academy of Raya Lucaria) 2||533160024||533160000||23162||-1
Sorceress Sellen (B) (Academy of Raya Lucaria) 2||533160124||533161000||23162||-1
Yura, Hunter of Bloody Fingers (Liurnia of the Lakes) 2||533181020||533180000||23183||-1
Yura, Hunter of Bloody Fingers (B) (Limgrave)||533181110||533181000||23183||-1
Yura, Hunter of Bloody Fingers (B) (Limgrave) 2||533181010||533181000||23183||-1
Shabriri (B) (Leyndell, Ashen Capital)||533181070||533181000||23184||-1
D, Hunter of the Dead (Black Knife Catacombs)||533190120||533190000||23194||-1
D, Hunter of the Dead (Liurnia of the Lakes)||533190020||533190000||23194||-1
D, Beholder of Death (Siofra River) 2||533190065||533190000||23195||-1
Dung Eater (Leyndell, Royal Capital)||533230034||533230000||23231||-1
Dung Eater (Subterranean Shunning-Grounds) 3||533230035||533230000||23231||-1
Sorcerer Rogier (Stormveil Castle) 2||533250014||533250000||23252||-1
Recusant Bernahl (Leyndell, Royal Capital)||533260034||533260000||23262||-1
Recusant Bernahl (B) (Crumbling Farum Azula)||533260072||533261000||23262||-1
Human (Southeast Caelid)||533290040||533290000||23291||-1
Blackguard (Ruin-Strewn Precipice)||533310026||533310000||23312||-1
Nepheli Loux, Warrior (Stormveil Castle) 3||533340014||533340000||23341||-1
Nepheli Loux, Warrior (Leyndell, Ashen Capital)||533340070||533340000||23341||-1
Nepheli Loux, Warrior (Liurnia of the Lakes) 2||533340020||533340000||23341||-1
Great Horned Tragoth (Ruin-Strewn Precipice)||533440026||533440000||23440||-1
Great Horned Tragoth (Capital Outskirts)||533440033||533440000||23440||-1
Great Horned Tragoth (B) (Southeast Caelid)||533440040||533441000||23441||-1
Old Knight Istvan (Coastal Cave)||533450010||533450000||23450||-1
Millicent (Ruin-Strewn Precipice)||533481026||533480000||23486||-1
Millicent (Altus Plateau) 3||533481030||533480000||23487||-1
Millicent (Capital Outskirts)||533481033||533480000||23487||-1
Millicent (Mountaintops of the Giants) 2||533481050||533480000||23487||-1
Millicent (B) (Miquella's Haligtree) 2||533480056||533481000||23488||-1
Okina (Southeast Caelid)||533550040||533550000||23551||-1
Finger Maiden Therolina (Southeast Caelid)||533630040||533630000||23632||-1
Mary, Eldest Sister (Miquella's Haligtree) 2||533870056||533870000||23870||-1
Polyanna, Adopted Daughter (Caelid)||533900040||533900000||23901||-1
Edgar the Revenger (Liurnia of the Lakes)||543110020||543110000||23110||-1
Recusant Bernahl (Crumbling Farum Azula)||543260072||543260100||23262||-1
Eleonora, Violet Bloody Finger (Altus Plateau)||543270030||523270000||23271||-1
Ensha of the Royal Remains (Roundtable Hold) 2||543390079||543390000||23390||-1
Bloody Finger Nerijus (Limgrave)||543430010||543430000||23430||-1
Sanguine Noble (Consecrated Snowfield)||543430052||543430000||23430||-1
Millicent (Caelid) 4||543480040||543480000||23485||-1
Recusant Henricus (Stormhill)||543690010||543690000||23690||-1
Mad Tongue Alberich (Roundtable Hold)||543850079||543850000||23850||-1

--Blaidd the Half-Wolf
Blaidd the Half-Wolf (Siofra River)||20109064||20100000||-1||-1
Blaidd the Half-Wolf (Liurnia of the Lakes)||20109020||20100000||-1||-1
Blaidd the Half-Wolf (Liurnia of the Lakes) 2||20109120||20100000||-1||-1
Blaidd the Half-Wolf (Liurnia of the Lakes) 3||20100000||20100000||-1||-1
Blaidd the Half-Wolf (Weeping Peninsula)||20109110||20100000||-1||-1
Blaidd the Half-Wolf (Limgrave)||20109210||20100000||-1||-1
Blaidd the Half-Wolf (m60_45_37_10)||20109010||20100000||-1||-1
Blaidd the Half-Wolf (Caelid)||20109040||20100000||-1||-1
Blaidd the Half-Wolf (Caelid) 2||20109240||20100000||-1||-1
Baleful Shadow (B) (Ainsel River)||20108562||20108500||-1||-1
Blaidd the Half-Wolf (C) (Limgrave)||20109310||20109000||-1||-1
Blaidd the Half-Wolf (D) (Southeast Caelid)||20109140||20109500||-1||-1

--Rennala, Queen of the Full Moon
Rennala (Phase 1) (Academy of Raya Lucaria)||20300024||20300000||-1||-1
Rennala (NPC) (B) (Academy of Raya Lucaria)||20300124||20300100||-1||-1
Rennala (Phase 2) (C) (Academy of Raya Lucaria) 2||20310024||20310000||-1||-1

--Rennala Student
Rennala Student (Academy of Raya Lucaria)||20403024||20400000||-1||-1
Rennala Student (Academy of Raya Lucaria) 2||20400024||20400000||-1||-1
Rennala Student (Academy of Raya Lucaria) 3||20402024||20400000||-1||-1
Rennala Student (Academy of Raya Lucaria) 4||20401024||20400000||-1||-1
Rennala Student (Academy of Raya Lucaria) 5||20404024||20400000||-1||-1
Rennala Student (Academy of Raya Lucaria) 6||20402124||20400000||-1||-1
Rennala Student (Academy of Raya Lucaria) 7||20402224||20400000||-1||-1

--Kindred of Rot Larva
Kindred of Rot Larva (Miquella's Haligtree)||20410056||20410000||-1||-1
Kindred of Rot Larva (Miquella's Haligtree) 2||20410056||20410000||-1||18901
Kindred of Rot Larva (m60_47_38_10)||20410040||20410000||-1||-1

--Ranni the Witch
Ranni the Witch (Liurnia of the Lakes)||20500020||20500000||-1||-1
Ranni the Witch (Liurnia of the Lakes) 2||20500122||20500000||-1||-1
Renna the Witch (Limgrave)||20500010||20500000||-1||-1

--Black Knife Assassin
Black Knife Assassin (Leyndell, Royal Capital)||21000034||21000000||-1||-1
Black Knife Assassin (Boss) (Black Knife Catacombs)||21000820||21000000||-1||-1
Black Knife Assassin (Boss) (Sage's Cave)||21000930||21000000||-1||-1
Alecto, Black Knife Ringleader (Liurnia of the Lakes)||21002922||21000000||-1||5260
Black Knife Assassin (Consecrated Snowfield)||21000052||21000000||-1||-1
Black Knife Assassin (Consecrated Snowfield) 2||21000052||21000000||-1||19055,19058
Black Knife Assassin (Unscaled) (Consecrated Snowfield)||21009000||21000000||-1||-1
Black Knife Assassin (Boss) (Deathtouched Catacombs)||21001010||21000010||-1||-1
Black Knife Assassin (Boss) (Altus Plateau)||21000830||21000030||-1||-1
Black Knife Assassin (Consecrated Snowfield) 3||21000052||21000052||-1||-1

--Beast Clergyman
Beast Clergyman (Crumbling Farum Azula)||21100072||21100000||-1||-1
Maliketh (B) (Crumbling Farum Azula)||21101072||21101000||-1||-1
Gurranq, Beast Clergyman (C) (Greyoll's Dragonbarrow)||21109042||21102000||-1||-1

--Malenia, Goddess of Rot
Malenia (Phase 1)||21200056||21200000||-1||-1
Malenia (Pseudo phase 2)||21201000||21200000||-1||-1
Malenia (Flower Ghosts)||21202056||21200000||-1||-1

--Margit/Morgott
Margit, the Fell Omen (Stormveil Castle)||21300014||21300000||-1||-1
Morgott, the Omen King (B) (Leyndell, Royal Capital)||21300534||21300500||-1||-1
Margit (C) (Capital Outskirts)||21300033||21300900||-1||-1

--Omen
Omen (Stormveil Castle)||21400114||21400000||-1||-1
Omen (Cliffbottom Catacombs)||21400120||21400000||-1||-1
Omen (m60_44_53_10)||21400633||21400000||-1||-1
Omen (Altus Plateau)||21400130||21400000||-1||-1
Omen (Subterranean Shunning-Grounds)||21400335||21400000||-1||-1
Omen (Subterranean Shunning-Grounds) 2||21400435||21400000||-1||-1
Omen (Subterranean Shunning-Grounds) 3||21400235||21400000||-1||16519
Omen (Subterranean Shunning-Grounds) 4||21400035||21400000||-1||-1
Omen (Subterranean Shunning-Grounds) 5||21400135||21400000||-1||-1
Omen (Altus Plateau) 2||21400030||21400000||-1||-1
Omen (Altus Plateau) 3||21400930||21400000||-1||-1
Fell Twin (B) (Divine Tower of East Altus)||21403050||21400900||-1||-1
Omen (C) (Cliffbottom Catacombs)||21401120||21401000||-1||-1
Omen (C) (Subterranean Shunning-Grounds)||21401435||21401000||-1||-1
Omen (C) (Subterranean Shunning-Grounds) 2||21401235||21401000||-1||-1
Omen (C) (Subterranean Shunning-Grounds) 3||21401235||21401000||-1||16519
Omen (C) (Subterranean Shunning-Grounds) 4||21401035||21401000||-1||-1
Omen (C) (Altus Plateau)||21401030||21401000||-1||-1
Omen (C) (Altus Plateau) 2||21401930||21401000||-1||-1
Fell Twin (D) (Divine Tower of East Altus)||21403150||21401900||-1||-1

--Wisp
Wisp (Siofra River)||21500064||21500000||-1||-1
Wisp (Consecrated Snowfield)||21500652||21500000||-1||-1
Wisp (Consecrated Snowfield) 2||21500452||21500000||-1||-1
Wisp (Consecrated Snowfield) 3||21500352||21500000||-1||-1
Wisp (Consecrated Snowfield) 4||21500052||21500000||-1||-1
Wisp (Siofra River) 2||21500064||21500030||-1||19101
Wisp (Siofra River) 3||21500064||21500030||-1||19102
Wisp (Siofra River) 4||21500064||21500030||-1||5000,19102
Wisp (Siofra River) 5||21500064||21500030||-1||5000,19101
Wisp (Consecrated Snowfield) 5||21500452||21500030||-1||-1
Wisp (Consecrated Snowfield) 6||21500352||21500030||-1||-1
Wisp (Consecrated Snowfield) 7||21500652||21500030||-1||-1
Wisp (Consecrated Snowfield) 8||21500052||21500030||-1||-1

--Melina
Melina (Leyndell, Royal Capital)||21801034||21800000||-1||-1

--Radagon of the Golden Order
Radagon of the Golden Order (Stone Platform)||21900078||21900000||-1||-1

--Elden Beast
Elden Beast (Stone Platform)||22000078||22000000||-1||-1

--Giant Crab
Giant Crab (Siofra River)||22700064||22700000||-1||-1
Giant Crab (Wyndham Catacombs)||22700032||22700000||-1||-1
Giant Crab (Altus Plateau)||22700030||22700000||-1||-1
Giant Crab (m60_46_38_10)||22700010||22700000||-1||-1
Giant Crab (Limgrave) (Weeping Peninsula)||22700013||22700000||-1||-1
Giant Crab (B) (Siofra River)||22700064||22700200||-1||-1
Giant Crab - Damaged (Black Knife Catacombs)||22720020||22720000||-1||-1
Giant Crab - Damaged (Weeping Peninsula)||22720112||22720000||-1||-1
Giant Crab - Clean (Liurnia of the Lakes)||22740020||22740000||-1||-1
Giant Crab - Clean (Liurnia of the Lakes) 2||22740120||22740000||-1||-1
Giant Crab - Clean (Liurnia of the Lakes) 3||22740021||22740000||-1||-1
Giant Crab - Clean (Mountaintops of the Giants)||22740052||22740000||-1||-1
Giant Crab - Clean (B) (Academy of Raya Lucaria)||22740024||22740200||-1||-1
Giant Crab - Golden Tuffs (Liurnia of the Lakes)||22760020||22760000||-1||-1
Giant Crab - Golden Tuffs (m60_44_52_10)||22760033||22760000||-1||-1

--Crab
Crab (Siofra River)||22710064||22710000||-1||-1
Crab (Siofra River) 2||22710065||22710000||-1||-1
Crab (Minor Erdtree Catacombs)||22710040||22710000||-1||-1
Crab (Altus Plateau)||22710030||22710000||-1||-1
Crab (Weeping Peninsula)||22710012||22710000||-1||-1
Crab (m60_46_38_10)||22710010||22710000||-1||-1
Crab (Limgrave) (Weeping Peninsula)||22710013||22710000||-1||-1
Crab - Maggots (Black Knife Catacombs)||22730020||22730000||-1||-1
Crab - Clean (Liurnia of the Lakes)||22750120||22750000||-1||-1
Crab - Clean (Liurnia of the Lakes) 2||22750020||22750000||-1||-1
Crab - Clean (Mountaintops of the Giants)||22750052||22750000||-1||-1
Crab - Clean (Liurnia of the Lakes) 3||22750020||22750010||-1||-1
Crab - Clean (Academy of Raya Lucaria)||22750024||22750020||-1||-1
Crab - Clean (Academy of Raya Lucaria) 2||22751024||22750020||-1||-1
Crab - Clean (Liurnia of the Lakes) 4||22750020||22750020||-1||-1
Crab - Golden Tuffs (Liurnia of the Lakes)||22770020||22770000||-1||-1
Crab - Golden Tuffs (m60_44_52_10)||22770033||22770000||-1||-1

--Crucible Knight
Crucible Knight (Boss) (Road's End Catacombs)||25006020||25000000||-1||-1
Crucible Knight Ordovis (Auriza Hero's Grave)||25000933||25000030||-1||-1
Crucible Knight (Evergaol Boss) (Limgrave)||25000010||25000030||-1||5260
Crucible Knight (Redmane Boss) (Caelid)||25000941||25000040||-1||-1
Crucible Knight (Unused) (Stormveil Castle)||25000014||25000050||-1||-1
Crucible Knight (Siofra River)||25000165||25000100||-1||-1
Crucible Knight (Crumbling Farum Azula)||25000172||25000100||-1||4801,8600,5000
Crucible Knight (Boss) (Road's End Catacombs) 2||25006120||25000100||-1||-1
Crucible Knight (Four Belfries) (Siofra River)||25000865||25000110||-1||-1
Crucible Knight (Crumbling Farum Azula) 2||25000172||25000110||-1||8600
Crucible Knight (B) (Leyndell, Royal Capital)||25001034||25001000||-1||-1
Crucible Knight (Boss) (B) (Road's End Catacombs)||25007020||25001000||-1||-1
Crucible Knight Ordovis (Boss) (B) (Auriza Hero's Grave)||25001933||25001030||-1||-1
Crucible Knight Siluria (B) (Deeproot Depths)||25001066||25001066||-1||-1
Crucible Knight (B) (Leyndell, Royal Capital) 2||25001134||25001100||-1||-1
Crucible Knight (B) (Siofra River)||25001165||25001100||-1||-1
Crucible Knight (Boss) (B) (Road's End Catacombs) 2||25007120||25001100||-1||-1
Tanith's Knight (C) (Volcano Manor)||25009038||25009000||-1||-1
Tanith's Knight (C) (Volcano Manor) 2||25009138||25009000||-1||-1

--Exile Soldier
Exile Soldier (Stormveil Castle)||30000014||30000000||-1||-1
Exile Soldier (Stormveil Castle) 2||30001214||30000000||-1||-1
Exile Soldier (Stormveil Castle) 3||30000814||30000000||-1||-1
Mausoleum Exile Soldier (Stranded Graveyard)||30004007||30000000||-1||-1
Mausoleum Exile Soldier (Mountaintops of the Giants)||30004051||30000010||-1||19001
Mausoleum Exile Soldier (Stranded Graveyard) 2||30004007||30000020||-1||-1
Mausoleum Exile Soldier (Mountaintops of the Giants) 2||30004051||30000020||-1||19001
Exile Soldier (Stormveil Castle) 4||30000814||30000030||-1||-1
Exile Soldier (Stormveil Castle) 5||30000814||30000100||-1||-1
Mausoleum Exile Soldier (Mountaintops of the Giants) 3||30004151||30000110||-1||-1
Mausoleum Exile Soldier (Mountaintops of the Giants) 4||30004151||30000110||-1||19004
Mausoleum Exile Soldier (Mountaintops of the Giants) 5||30004151||30000120||-1||19004
Exile Soldier (Boss) (Caelid)||30008040||30000140||-1||-1
Exile Soldier (Stormveil Castle) 6||30000214||30000200||-1||-1
Exile Soldier (Stormveil Castle) 7||30000714||30000200||-1||-1
Mausoleum Exile Soldier (Mountaintops of the Giants) 6||30004351||30000200||-1||-1
Exile Soldier (B) (Stormveil Castle)||30000114||30000300||-1||-1
Exile Soldier (B) (Stormveil Castle) 2||30000014||30000300||-1||-1
Exile Soldier (C) (Stormveil Castle)||30000114||30000400||-1||-1
Exile Soldier (C) (Stormveil Castle) 2||30001314||30000400||-1||-1
Exile Soldier (D) (Stormveil Castle)||30000114||30000700||-1||-1
Exile Soldier (E) (Stormveil Castle)||30000014||30000800||-1||-1
Exile Soldier (E) (Stormveil Castle) 2||30000614||30000800||-1||10173
Exile Soldier (F) (Stormveil Castle)||30001114||30001000||-1||-1
Exile Soldier (F) (Stormveil Castle) 2||30001014||30001000||-1||-1
Mausoleum Exile Soldier (F) (Stranded Graveyard)||30005007||30001000||-1||-1
