Name||NpcParamID||NpcThinkID
Godskin Apostle {Godskin Duo)||35600172||35600100
Godskin Monk||39010038||39010000
Godskin Monk||39011042||39011000
Godskin Noble (Godskin Duo)||35700172||35700100
Golem||46601010||46601100
Golem||46602050||46600000
Golem||46604142||46600000
Golem||46605140||46601000
Golem||46606020||46600000
Golem||46607012||46601100
Golem||46609050||46601050
Golem (Leyndell, Royal Capital)||46600034||46600000
Grafted Scion (Stormveil Castle)||46900014||46900000
Grave Warden Duelist (Leyndell, Royal Capital)||34000034||34000000
Grave Warden Duelist (Leyndell, Royal Capital)||34001034||34001000
Great Wyrm Theodorix (Boss)||49110052||49100952
Grey Wolf||40700165||40700100
Grey Wolf||40702012||40700600
Grey Wolf||40708024||40708000
Gull||60700022||60700000
Gurranq, Beast Clergyman||21109042||21102000
Haligtree Foot Soldier||43760056||43760000
Haligtree Foot Soldier||43761756||43760200
Haligtree Foot Soldier||43766056||43761000
Haligtree Foot Soldier||43767056||43761500
Haligtree Knight||43560556||43560000
Haligtree Knight||43561556||43561000
Haligtree Knight||43562556||43562000
Haligtree Soldier||43160156||43160100
Haligtree Soldier||43161056||43161000
Haligtree Soldier||43162056||43162000
Haligtree Soldier||43163056||43163000
Hawk||60010014||60010000
Highwayman||43770012||43770012
Highwayman||43772012||43770012
Hoarah Loux||47210070||47210900
Horse||40600010||40600000
Human||1000000||1000000
Human||10003000||1
Human||52306000||1
Imp||30802033||30800000
Imp (Leyndell, Royal Capital)||30800034||30800000
Imp (Leyndell, Royal Capital)||30801034||30800000
Imp (Leyndell, Royal Capital)||30806034||30800000
Jellyfish||41800065||41800000
Jellyfish||41801013||41800000
Jellyfish||41809050||41809000
Kaiden Sellsword||40500010||40508100
Kindred of Rot||38100062||38100000
Kindred of Rot||38101040||38101000
Kindred of Rot||38103056||38100010
Kindred of Rot||38109040||38100000
Kindred of Rot (Boss)||38102932||38100000
Large Braided Dog||41620072||41620000
Large Castle Exile||30200014||30200800
Large Castle Exile (Boss)||30208040||30200040
Large Demi-Human||41010020||41010200
Large Fingercreeper||42405050||42400000
Large Fingercreeper||42406150||42400000
Large Fingercreeper||42408821||42400000
Large Fingercreeper  (Leyndell, Royal Capital)||42407034||42400000
Large Misbegotten (Leyndell, Royal Capital)||34510034||34510000
Large Mushroom Dog||41660040||41660000
Large Oracle Envoy (Leyndell, Royal Capital)||36200034||36200000
Large Red Albinauric||34715268||34705052
Large Rotten Dog||41640830||41640000
Large Starved Dog||41601020||41600000
Large Starved Dog||41602050||41600000
Large Starved Dog (Stormveil Castle)||41600014||41600000
Large Tear Scarab||41900052||41900000
Large Tear Scarab||41902032||41900000
Large Tear Scarab||41905052||41900000
Large Wormface||45700030||45700000
Large Wormface||45701072||45700200
Large Wormface||45702030||45700100
Lazuli Raya Lucaria Scholar||37022024||37020000
Leonine Misbegotten (Boss)||34601952||34600000
Leonine Misbegotten (Leyndell, Royal Capital)||34600034||34600020
Lesser Elder Dragon||45050042||45050000
Leyndell Foot Soldier||43731530||43730200
Leyndell Foot Soldier||43734050||43730500
Leyndell Foot Soldier||43736030||43731000
Leyndell Foot Soldier||43737050||43731550
Leyndell Foot Soldier||43738032||43730000
Leyndell Foot Soldier (Leyndell, Royal Capital)||43730534||43730000
Leyndell Foot Soldier (Leyndell, Royal Capital)||43732534||43730000
Leyndell Knight - Archer (Leyndell, Royal Capital)||43532034||43532000
Leyndell Knight (Leyndell, Royal Capital)||43530034||43530000
Leyndell Knight (Leyndell, Royal Capital)||43531034||43531000
Leyndell Knight's Horse||43630050||43630000
Leyndell Soldier||43131032||43131000
Leyndell Soldier||43134232||43130000
Leyndell Soldier||43135032||43131000
Leyndell Soldier||43136032||43132000
Leyndell Soldier  (Leyndell, Royal Capital)||43130034||43130000
Leyndell Soldier (Leyndell, Royal Capital)||43132034||43132000
Leyndell Soldier (Leyndell, Royal Capital)||43133034||43133000
Lichdragon Fortissax||45110066||45110000
Lion Guardian||42701051||42701000
Lion Guardian (Stormveil Castle)||42700014||42700100
Living Jar - Small||44919020||44919000
Living Jar - Small (Stormveil Castle)||44910014||44910000
Living Pot - Huge||44920040||44920000
Living Pot - Large||44908124||44900000
Living Pot - Large||44909972||44900000
Living Pot - Large (Stormveil Castle)||44907014||44900000
Loretta Tree Sentinel||32520054||32520054
Mad Pumpkin Head||43400430||43400000
Mad Pumpkin Head||43401024||43401000
Magma Wyrm||49100038||49100000
Malenia, Blade of Miquella||21200056||21200000
Malenia, Blade of Miquella||21202056||21200000
Maliketh (Farum Azula)||21101072||21101000
Man-Serpent||39500038||39500000
Man-Serpent||39501138||39500000
Man-Serpent||39502038||39502000
Man-Serpent||39503038||39502000
Man-Serpent||39504038||39504000
Man-Serpent - NPC||39509038||39509000
Margit (Limgrave)||21300014||21300000
Marionette||38500024||38500000
Marionette||38501024||38501000
Marionette||38502024||38502000
Master Lusat - NPC||37200040||37200000
Mausoleum Castle Exile||30004007||30000020
Mausoleum Castle Exile||30005007||30001100
Mausoleum Castle Exile||30006051||30002010
Mausoleum Foot Soldier||43751052||43750100
Mausoleum Knight||43550066||43550000
Mausoleum Knight||43551166||43551000
Mausoleum Knight||43552066||43552100
Mausoleum Knight's Horse||43650066||43650000
Mausoleum Soldier||43150066||43150000
Mausoleum Soldier||43151366||43151000
Mausoleum Soldier||43152066||43152000
Mausoleum Soldier||43153066||43153000
Melina (Leyndell, Royal Capital)||21801034||21800000
Merciless Chariot||81200007||81200000
Miranda Sprout||44811830||44811300
Miranda Sprout (Leyndell, Royal Capital)||44810034||44810000
Misbegotten||34502030||34501000
Misbegotten (Leyndell, Royal Capital)||34500034||34500000
Misbegotten (Leyndell, Royal Capital)||34501034||34501000
Mohg, The Omen (Palace)||48000068||48000000
Mohg, The Omen (Sewers)||48001935||48000000
Monstrous Blood Crow||45610068||45610010
Monstrous Crow||45600000||45600000
Monstrous Crow||45601850||45609990
Monstrous Dog||45500000||45500000
Monstrous Dog||45501000||45500100
Monstrous Dog||45502000||45500200
Monstrous Dog||45503040||45500300
Monstrous Dog||45504040||45500000
Monstrous Dog||45506050||45506000
Mushroom Dog||41670040||41670000
Night's Cavalry||31500052||31500052
Night's Cavalry||31501052||31501052
Night's Cavalry Horse||31600052||31600052
Noble's Page (Leyndell, Royal Capital)||37030034||37030000
Noble's Page (Leyndell, Royal Capital)||37031034||37030000
Nomad Mule||32100010||32100000
Nomad Mule||32101720||32100000
Nomad Mule||32102132||32100000
Nomad Mule||32103010||32100000
Nomad Trader||32010035||32010000
Nomad Trader - Hermit Merchant (Ainsel River)||32002860||32000000
Nomad Trader - Isolated Merchant||32001720||32000000
Nomad Trader - Merchant Kalé||32000010||32000000
Nomad Trader - Nomadic Merchant||32003010||32000000
Nox Swordstress||33000062||33000000
Nox Swordstress||33001062||33100000
Nox Swordstress||33002062||33101000
Omen Monstrosity||21401120||21401000
Omen Monstrosity (Stormveil Castle)||21400114||21400000
Omen Monstrosity (Void Boss)||21403050||21400900
Omenkiller (Boss Village)||48200930||48200000
Omenkiller (Leyndell, Royal Capital)||48208034||48200000
Oracle Envoy (Leyndell, Royal Capital)||36100034||36100030
Orb of Many Faces||37300120||37300000
Orb of Many Faces - NPC||37301024||37300000
Owl||60400022||60400000
Palm Reader - No Chair||21700079||21700000
Palm Reader - Wooden Chair||21601066||21600000
Putrid Corpse||36611035||36610000
Putrid Corpse||36612040||36610100
Putrid Corpse||36613254||36610000
Putrid Corpse||36614024||36610000
Putrid Corpse||36615068||36615000
Putrid Corpse||36616040||36610000
Putrid Corpse (Leyndell, Royal Capital)||36610034||36610000
Rabbitgaroo||61000065||61000000
Radagon (Stone Platform)||21900078||21900000
Radahn Foot Soldier||43740342||43740000
Radahn Foot Soldier||43741040||43740100
Radahn Foot Soldier||43742042||43740000
Radahn Foot Soldier||43743040||43740100
Radahn Foot Soldier||43746040||43741000
Radahn Foot Soldier||43747040||43741500
Radahn Soldier||43140642||43140900
Radahn Soldier||43141140||43141100
Radahn Soldier||43142142||43140000
Radahn Soldier||43143242||43143000
Ranni the Witch||20500020||20500000
Rat (Stormveil Castle)||40800014||40800000
Raya Lucaria Foot Soldier||43720020||43720000
Raya Lucaria Foot Soldier||43721820||43720000
Raya Lucaria Foot Soldier||43722020||43720000
Raya Lucaria Foot Soldier||43723020||43720100
Raya Lucaria Foot Soldier||43724020||43720500
Raya Lucaria Foot Soldier||43727020||43721500
Raya Lucaria Scholar||37020024||37020000
Raya Lucaria Scholar||37024024||37020000
Raya Lucaria Soldier||43120028||43120010
Raya Lucaria Soldier||43121020||43121000
Raya Lucaria Soldier||43122021||43122010
Raya Lucaria Soldier||43123028||43123010
Red Albinauric||34700268||34700500
Red Albinauric||34701468||34701500
Red Albinauric||34702468||34702500
Red Albinauric||34703068||34703000
Red Albinauric||34704268||34704000
Red Wolf of Radagon||31810065||31810000
Red Wolf of Radagon Sword (Archives)||31811024||31810024
Redmane Kngiht||43540342||43540210
Redmane Kngiht||43541242||43541200
Redmane Kngiht||43542242||43542300
Redmane Knight's Horse||43640040||43640000
Rennala Student||20400024||20400000
Rennala Student||20401024||20400000
Rennala Student||20402024||20400000
Rennala Student||20403024||20400000
Rennala Student||20404024||20400000
Rennala Student - Bug Form||20410056||20410000
Rennala, Queen of the Full Moon||20300024||20300000
Rennala, Queen of the Full Moon||20310024||20310000
Rotten Dog||41650068||41650000
Royal Revenant||40208056||40200000
Royal Revenant (Boss)||40200920||40200000
Royal Rider||40000030||40000000
Royal Rider||40001030||40001000
Runebear||46300766||46300000
Sanguine Noble||35500068||35500000
Scarlet Putrid Corpse||36621035||36620000
Scarlet Putrid Corpse||36622040||36620100
Scarlet Putrid Corpse||36624024||36620000
Scarlet Putrid Corpse||36626040||36620000
Silver Tear||33200062||33200000
Silver Tear||33201062||33200000
Silver Tear||33202262||33200000
Silver Tear Orb||33300862||33300062
Skeleton - Curved Sword  (Leyndell, Royal Capital)||35000034||35000000
Skeleton (Curved Sword)||35001172||35001020
Skeleton (Curved Sword)||35002172||35002000
Skeleton (Curved Sword)||35003172||35003000
Skeleton (Curved Sword)||35004172||35004000
Skeleton (Curved Sword)||35005020||35000000
Skeleton (Curved Sword)||35006010||35001000
Skeleton (Curved Sword)||35007020||35002000
Skeleton (Curved Sword)||35008020||35003000
Skeleton (Scimitar)||35100012||35100000
Skeleton (Scimitar)||35101012||35101000
Skeleton (Scimitar)||35102012||35102000
Skeleton (Scimitar)||35103012||35103000
Slug||40400035||40400100
Slug||40401038||40400000
Slug||40402030||40400000
Slug||40403020||40400000
Small Fingercreeper  (Leyndell, Royal Capital)||42500034||42500000
Small Land Octopus (Siofra River)||42300064||42300000
Small Living Mass||41700032||41700000
Snail||41400062||41400000
Snail||41402054||41400000
Snail||41403930||41403000
Snail||41404020||41404000
Soldier of Godrick (Boss)||43113906||43113900
Starcaller||43800062||43800000
Starscourge Radahn||47300040||47300000
Starved Dog (Stormveil Castle)||41610014||41610000
Stonedigger Troll (Club) (Boss)||46030910||46030100
Sunflower Commoner (Leyndell, Royal Capital)||36660034||36660000
Talk Dummy||10001000||1
Talk Dummy||10005000||1
Talk Dummy||10006050||1
Talk Dummy||10100000||1
Tear Scarab||41910065||41910000
Tear Scarab||41911062||41910000
Tear Scarab||41912014||41910000
Tear Scarab||41913014||41910000
Tear Scarab||41915062||41910000
Tear Scarab (Leyndell, Royal Capital)||41914034||41910000
The Two Fingers||20600079||20600000
Tibia Mariner (Boss)||49500032||49500932
Tree Sentinel - Torch (Altus Plateua)||32511030||32511000
Tree Sentinel (Altus Plateua)||32510030||32510900
Troll Iji||46040020||46040000
Troll Knight||46001020||46001000
Troll Knight||46003140||46000000
Troll Knight||46004032||46004000
Troll Knight||46020050||46020000
Troll Knight||46021052||46021000
Troll Knight (Boss)||46008024||46008000
Troll Knight (Stormveil Castle)||46000014||46000000
Tunnel Miner||43820012||43820000
Tunnel Miner||43821012||43821000
Tunnel Miner||43822010||43822000
Tunnel Miner||43823010||43823000
Tunnel Miner||43825026||43823000
Tunnel Miner||43826033||43824000
Tunnel Miner||43827012||43825000
Tunnel Miner||43828033||43826000
Tunnel Miner||43829030||43826000
Turtle||60900064||60900000
Turtle Large||60911022||60910000
Turtle Pope||60910020||60910000
Twinsage Raya Lucaria Scholar||37023024||37020000
Ulcerated Tree Spirit (Stormveil Castle)||46400014||46400000
Undead Beastmariner||30610072||30600000
Undead Beastmariner||30611072||30611000
Undead Mariner||30600030||30600000
Undead Mariner||30601020||30601000
Vulgar Militia||43210152||43210100
Vulgar Militia||43211152||43210100
Vulgar Militia||43212152||43210100
Walking Mausoleum||44500066||44500000
Walking Mausoleum||44501020||44500000
Wandering Noble||43000024||43000000
Wandering Noble||43001024||43001000
Wandering Noble||43002024||43002000
Wandering Noble||43003010||43003600
Wandering Noble||43004130||43004000
Wandering Noble||43005024||43005000
Wandering Noble||43006024||43006000
Wandering Noble||43007020||43006100
Warhawk||42102072||42100000
Warhawk||42103050||42100000
Warhawk||42104551||42100000
Warhawk (Stormveil Castle)||42100114||42100000
Warhawk (Stormveil Castle)||42101214||42100200
White Veil Perfumer  (Leyndell, Royal Capital)||37010034||37010000
White Veil Perfumer (Leyndell, Royal Capital)||37011034||37010000
White Wolf||40710010||40703000
Wisp||21500064||21500030
Writhing Mass||47110038||47110000
